AirPollutant,AirQualityLevel,FilterStation,Country,TypeOfMeasurementStation,City,datebegin,validity_notation
NO2,45.2,1,Italy,background,Siracusa,21/03/2016,1
NO2,37.3,1,Italy,background,Siracusa,22/03/2016,1
NO2,16.3,1,Italy,background,Siracusa,23/03/2016,1
NO2,28.5,1,Italy,background,Siracusa,24/03/2016,1
NO2,28.1,1,Italy,background,Siracusa,25/03/2016,1
NO2,35.4,1,Italy,background,Siracusa,26/03/2016,1
NO2,31.4,1,Italy,background,Siracusa,27/03/2016,1
NO2,25.2,1,Italy,background,Siracusa,28/03/2016,1
NO2,34.3,1,Italy,background,Siracusa,29/03/2016,1
NO2,61.7,1,Italy,background,Siracusa,30/03/2016,1
NO2,28.6,1,Italy,background,Siracusa,31/03/2016,1
NO2,31.8,1,Italy,background,Siracusa,01/04/2016,1
NO2,4.7,1,Italy,background,Siracusa,02/04/2016,1
NO2,8.4,1,Italy,background,Siracusa,03/04/2016,1
NO2,40.8,1,Italy,background,Siracusa,04/04/2016,1
NO2,46.7,1,Italy,background,Siracusa,05/04/2016,1
NO2,21.3,1,Italy,background,Siracusa,06/04/2016,1
NO2,24.2,1,Italy,background,Siracusa,07/04/2016,1
NO2,26.9,1,Italy,background,Siracusa,08/04/2016,1
NO2,27.0,1,Italy,background,Siracusa,09/04/2016,1
NO2,15.3,1,Italy,background,Siracusa,10/04/2016,1
NO2,36.4,1,Italy,background,Siracusa,11/04/2016,1
NO2,47.3,1,Italy,background,Siracusa,12/04/2016,1
NO2,46.8,1,Italy,background,Siracusa,13/04/2016,1
NO2,28.7,1,Italy,background,Siracusa,14/04/2016,1
NO2,37.1,1,Italy,background,Latina,27/04/2018,1
NO2,11.1,1,Italy,background,Latina,28/04/2019,1
NO2,22.3,1,Italy,background,Roma,16/04/2019,1
NO2,16.1,1,Italy,background,Latina,29/02/2016,1
NO2,31.9,1,Italy,background,Latina,23/03/2016,1
NO2,8.1,1,Italy,background,Latina,29/05/2016,1
NO2,35.5,1,Italy,background,Latina,26/04/2018,1
NO2,15.3,1,Italy,background,Latina,06/03/2019,1
NO2,9.1,1,Italy,background,Latina,23/04/2019,1
NO2,39.5,1,Italy,background,Latina,10/02/2016,1
NO2,6.7,1,Italy,background,Latina,28/02/2016,1
NO2,38.4,1,Italy,background,Latina,01/03/2016,1
NO2,16.8,1,Italy,background,Latina,03/04/2016,1
NO2,28.4,1,Italy,background,Latina,05/04/2016,1
NO2,37.4,1,Italy,background,Latina,08/04/2016,1
NO2,21.6,1,Italy,background,Latina,12/04/2016,1
NO2,7.9,1,Italy,background,Latina,15/05/2016,1
NO2,13.4,1,Italy,background,Latina,30/05/2016,1
NO2,41.5,1,Italy,background,Latina,13/04/2017,1
NO2,22.3,1,Italy,background,Latina,19/04/2017,1
NO2,23.7,1,Italy,background,Latina,24/04/2018,1
NO2,23.5,1,Italy,background,Latina,14/05/2018,1
NO2,25.0,1,Italy,background,Latina,15/04/2019,1
NO2,17.1,1,Italy,background,Latina,03/05/2019,1
NO2,12.1,1,Italy,background,Latina,05/05/2019,1
NO2,22.1,1,Italy,background,Latina,13/05/2019,1
NO2,27.0,1,Italy,background,Latina,16/05/2019,1
NO2,17.2,1,Italy,background,Latina,27/05/2019,1
NO2,7.8,1,Italy,background,Latina,29/05/2019,1
NO2,26.0,1,Italy,background,Roma,14/04/2016,1
NO2,32.4,1,Italy,background,Roma,05/02/2018,1
NO2,31.0,1,Italy,background,Roma,12/02/2018,1
NO2,24.7,1,Italy,background,Roma,04/02/2019,1
NO2,27.6,1,Italy,background,Latina,08/03/2016,1
NO2,29.1,1,Italy,background,Latina,22/03/2016,1
NO2,28.8,1,Italy,background,Latina,01/04/2016,1
NO2,24.9,1,Italy,background,Latina,02/04/2016,1
NO2,19.9,1,Italy,background,Latina,04/04/2016,1
NO2,22.4,1,Italy,background,Latina,09/04/2016,1
NO2,22.9,1,Italy,background,Latina,14/04/2016,1
NO2,20.8,1,Italy,background,Latina,24/05/2016,1
NO2,11.4,1,Italy,background,Latina,31/05/2016,1
NO2,25.0,1,Italy,background,Latina,06/02/2017,1
NO2,37.2,1,Italy,background,Latina,08/03/2017,1
NO2,24.5,1,Italy,background,Latina,02/05/2017,1
NO2,29.7,1,Italy,background,Latina,21/03/2018,1
NO2,18.3,1,Italy,background,Latina,02/04/2018,1
NO2,31.2,1,Italy,background,Latina,08/03/2019,1
NO2,24.0,1,Italy,background,Latina,12/03/2019,1
NO2,19.9,1,Italy,background,Latina,26/03/2019,1
NO2,10.7,1,Italy,background,Latina,04/04/2019,1
NO2,25.0,1,Italy,background,Latina,18/04/2019,1
NO2,22.2,1,Italy,background,Latina,06/05/2019,1
NO2,19.1,1,Italy,background,Latina,07/05/2019,1
NO2,10.4,1,Italy,background,Roma,28/02/2016,1
NO2,18.5,1,Italy,background,Roma,06/03/2017,1
NO2,13.6,1,Italy,background,Roma,15/04/2019,1
NO2,24.0,1,Italy,background,Roma,30/04/2019,1
NO2,8.8,1,Italy,background,Roma,14/05/2019,1
NO2,22.1,1,Italy,background,Latina,04/02/2016,1
NO2,23.3,1,Italy,background,Latina,08/02/2016,1
NO2,30.1,1,Italy,background,Latina,16/02/2016,1
NO2,41.8,1,Italy,background,Latina,09/03/2016,1
NO2,39.7,1,Italy,background,Latina,11/03/2016,1
NO2,32.7,1,Italy,background,Latina,15/03/2016,1
NO2,14.1,1,Italy,background,Latina,11/04/2016,1
NO2,9.9,1,Italy,background,Latina,24/04/2016,1
NO2,28.8,1,Italy,background,Latina,28/04/2016,1
NO2,12.1,1,Italy,background,Latina,19/05/2016,1
NO2,14.0,1,Italy,background,Latina,28/05/2016,1
NO2,18.6,1,Italy,background,Latina,07/03/2017,1
NO2,38.5,1,Italy,background,Latina,09/03/2017,1
NO2,15.0,1,Italy,background,Latina,06/02/2018,1
NO2,45.0,1,Italy,background,Latina,15/02/2018,1
NO2,32.7,1,Italy,background,Latina,28/02/2018,1
NO2,36.1,1,Italy,background,Latina,08/03/2018,1
NO2,20.5,1,Italy,background,Latina,10/04/2018,1
NO2,21.3,1,Italy,background,Latina,03/05/2018,1
NO2,45.6,1,Italy,background,Latina,08/02/2019,1
NO2,32.2,1,Italy,background,Latina,24/02/2019,1
NO2,36.7,1,Italy,background,Latina,25/02/2019,1
NO2,1.0,1,Italy,background,Napoli,07/03/2018,1
NO2,26.4,1,Italy,background,Napoli,08/04/2018,1
NO2,11.6,1,Italy,background,Napoli,16/03/2018,1
NO2,2.1,1,Italy,background,Napoli,20/03/2018,1
NO2,1.2,1,Italy,background,Napoli,10/05/2018,1
NO2,5.0,1,Italy,background,Napoli,15/05/2018,1
NO2,9.7,1,Italy,background,Napoli,16/05/2018,1
NO2,0.2,1,Italy,background,Napoli,13/03/2018,1
NO2,1.5,1,Italy,background,Napoli,18/03/2018,1
NO2,5.5,1,Italy,background,Napoli,30/03/2018,1
NO2,5.9,1,Italy,background,Napoli,16/04/2018,1
NO2,10.8,1,Italy,background,Napoli,17/04/2018,1
NO2,13.1,1,Italy,background,Napoli,19/04/2018,1
NO2,4.4,1,Italy,background,Napoli,21/04/2018,1
NO2,0.6,1,Italy,background,Napoli,30/04/2018,1
NO2,3.0,1,Italy,background,Napoli,07/05/2018,1
NO2,1.0,1,Italy,background,Napoli,12/05/2018,1
NO2,11.9,1,Italy,background,Napoli,18/05/2018,1
NO2,15.5,1,Italy,background,Napoli,11/02/2018,1
NO2,25.6,1,Italy,background,Napoli,14/02/2018,1
NO2,19.0,1,Italy,background,Napoli,15/02/2018,1
NO2,31.7,1,Italy,background,Napoli,21/02/2018,1
NO2,21.1,1,Italy,background,Napoli,22/02/2018,1
NO2,23.6,1,Italy,background,Napoli,26/02/2018,1
NO2,0.7,1,Italy,background,Napoli,06/03/2018,1
NO2,7.3,1,Italy,background,Napoli,17/03/2018,1
NO2,0.7,1,Italy,background,Napoli,19/03/2018,1
NO2,7.6,1,Italy,background,Napoli,21/03/2018,1
NO2,13.9,1,Italy,background,Napoli,22/03/2018,1
NO2,17.3,1,Italy,background,Napoli,23/03/2018,1
NO2,16.6,1,Italy,background,Napoli,24/03/2018,1
NO2,11.9,1,Italy,background,Napoli,25/03/2018,1
NO2,11.3,1,Italy,background,Napoli,26/03/2018,1
NO2,14.4,1,Italy,background,Napoli,27/03/2018,1
NO2,9.3,1,Italy,background,Napoli,28/03/2018,1
NO2,4.4,1,Italy,background,Napoli,29/03/2018,1
NO2,0.1,1,Italy,background,Napoli,01/04/2018,1
NO2,5.3,1,Italy,background,Napoli,02/04/2018,1
NO2,10.5,1,Italy,background,Napoli,05/04/2018,1
NO2,16.2,1,Italy,background,Napoli,06/04/2018,1
NO2,13.7,1,Italy,background,Napoli,07/04/2018,1
NO2,26.3,1,Italy,background,Napoli,11/04/2018,1
NO2,7.0,1,Italy,background,Napoli,12/04/2018,1
NO2,8.4,1,Italy,background,Napoli,13/04/2018,1
NO2,13.1,1,Italy,background,Napoli,14/04/2018,1
NO2,9.7,1,Italy,background,Napoli,15/04/2018,1
NO2,11.1,1,Italy,background,Napoli,18/04/2018,1
NO2,11.6,1,Italy,background,Napoli,20/04/2018,1
NO2,5.9,1,Italy,background,Napoli,22/04/2018,1
NO2,3.0,1,Italy,background,Napoli,23/04/2018,1
NO2,8.1,1,Italy,background,Napoli,24/04/2018,1
NO2,13.1,1,Italy,background,Napoli,25/04/2018,1
NO2,16.5,1,Italy,background,Napoli,26/04/2018,1
NO2,23.1,1,Italy,background,Napoli,27/04/2018,1
NO2,14.4,1,Italy,background,Napoli,28/04/2018,1
NO2,6.0,1,Italy,background,Napoli,29/04/2018,1
NO2,18.4,1,Italy,background,Napoli,01/05/2018,1
NO2,11.4,1,Italy,background,Napoli,02/05/2018,1
NO2,3.6,1,Italy,background,Napoli,03/05/2018,1
NO2,1.9,1,Italy,background,Napoli,04/05/2018,1
NO2,1.1,1,Italy,background,Napoli,05/05/2018,1
NO2,3.2,1,Italy,background,Napoli,06/05/2018,1
NO2,6.4,1,Italy,background,Napoli,08/05/2018,1
NO2,1.0,1,Italy,background,Napoli,09/05/2018,1
NO2,1.2,1,Italy,background,Napoli,11/05/2018,1
NO2,0.5,1,Italy,background,Napoli,13/05/2018,1
NO2,0.0,1,Italy,background,Napoli,14/05/2018,1
NO2,7.3,1,Italy,background,Napoli,17/05/2018,1
NO2,13.7,1,Italy,background,Napoli,19/05/2018,1
NO2,19.3,1,Italy,background,Napoli,20/05/2018,1
NO2,30.8,1,Italy,background,Milano,23/03/2017,1
NO2,50.8,1,Italy,background,Milano,01/04/2017,1
NO2,38.6,1,Italy,background,Milano,19/02/2019,1
NO2,50.9,1,Italy,background,Milano,27/02/2019,1
NO2,51.6,1,Italy,background,Milano,26/03/2019,1
NO2,58.3,1,Italy,background,Milano,11/03/2017,1
NO2,75.2,1,Italy,background,Milano,24/03/2017,1
NO2,64.6,1,Italy,background,Milano,31/03/2017,1
NO2,55.4,1,Italy,background,Milano,25/03/2018,1
NO2,42.3,1,Italy,background,Milano,19/03/2019,1
NO2,29.4,1,Italy,background,Milano,05/03/2017,1
NO2,52.5,1,Italy,background,Milano,21/02/2019,1
NO2,55.8,1,Italy,background,Milano,24/02/2016,1
NO2,60.1,1,Italy,background,Milano,01/03/2017,1
NO2,63.8,1,Italy,background,Milano,29/03/2017,1
NO2,60.9,1,Italy,background,Milano,30/03/2017,1
NO2,54.9,1,Italy,background,Milano,07/04/2018,1
NO2,55.3,1,Italy,background,Milano,08/04/2018,1
NO2,83.8,1,Italy,background,Milano,04/05/2019,1
NO2,72.3,1,Italy,background,Milano,02/02/2016,1
NO2,61.0,1,Italy,background,Milano,09/02/2016,1
NO2,64.8,1,Italy,background,Milano,12/02/2016,1
NO2,65.4,1,Italy,background,Milano,13/02/2016,1
NO2,35.4,1,Italy,background,Milano,07/04/2016,1
NO2,39.8,1,Italy,background,Milano,17/05/2016,1
NO2,37.8,1,Italy,background,Milano,31/05/2016,1
NO2,30.1,1,Italy,background,Milano,02/04/2017,1
NO2,8.3,1,Italy,background,Milano,19/04/2017,1
NO2,47.1,1,Italy,background,Milano,12/04/2018,1
NO2,58.2,1,Italy,background,Milano,13/04/2018,1
NO2,53.6,1,Italy,background,Milano,09/02/2019,1
NO2,75.2,1,Italy,background,Milano,24/03/2019,1
NO2,58.6,1,Italy,background,Milano,27/03/2019,1
NO2,41.6,1,Italy,background,Milano,24/05/2019,1
NO2,38.8,1,Italy,background,Milano,29/05/2019,1
NO2,54.1,1,Italy,background,Milano,03/02/2016,1
NO2,50.5,1,Italy,background,Milano,04/02/2016,1
NO2,77.9,1,Italy,background,Milano,06/02/2016,1
NO2,61.3,1,Italy,background,Milano,14/02/2016,1
NO2,70.3,1,Italy,background,Milano,15/02/2016,1
NO2,75.0,1,Italy,background,Milano,25/02/2016,1
NO2,64.3,1,Italy,background,Milano,27/02/2016,1
NO2,53.7,1,Italy,background,Milano,08/03/2016,1
NO2,37.5,1,Italy,background,Milano,16/03/2016,1
NO2,52.4,1,Italy,background,Milano,19/03/2016,1
NO2,54.4,1,Italy,background,Milano,24/03/2016,1
NO2,39.9,1,Italy,background,Milano,04/04/2016,1
NO2,31.1,1,Italy,background,Milano,15/04/2016,1
NO2,28.8,1,Italy,background,Milano,17/04/2016,1
NO2,39.3,1,Italy,background,Milano,19/04/2016,1
NO2,40.3,1,Italy,background,Milano,22/04/2016,1
NO2,35.4,1,Italy,background,Milano,14/05/2016,1
NO2,28.2,1,Italy,background,Milano,15/05/2016,1
NO2,33.1,1,Italy,background,Milano,16/05/2016,1
NO2,37.4,1,Italy,background,Milano,26/05/2016,1
NO2,78.7,1,Italy,background,Milano,06/02/2017,1
NO2,83.7,1,Italy,background,Milano,17/03/2017,1
NO2,46.6,1,Italy,background,Milano,19/05/2017,1
NO2,81.3,1,Italy,background,Milano,02/03/2018,1
NO2,54.1,1,Italy,background,Milano,06/04/2018,1
NO2,54.3,1,Italy,background,Milano,19/04/2018,1
NO2,76.1,1,Italy,background,Milano,08/02/2019,1
NO2,60.2,1,Italy,background,Milano,01/04/2019,1
NO2,35.6,1,Italy,background,Milano,27/05/2019,1
NO2,61.7,1,Italy,background,Milano,01/02/2016,1
NO2,68.5,1,Italy,background,Milano,05/02/2016,1
NO2,61.2,1,Italy,background,Milano,07/02/2016,1
NO2,65.7,1,Italy,background,Milano,08/02/2016,1
NO2,68.1,1,Italy,background,Milano,11/02/2016,1
NO2,67.9,1,Italy,background,Milano,16/02/2016,1
NO2,64.8,1,Italy,background,Milano,17/02/2016,1
NO2,6.8,1,Italy,background,Siracusa,19/02/2017,1
NO2,5.9,1,Italy,background,Siracusa,17/05/2018,1
NO2,6.0,1,Italy,background,Siracusa,21/02/2016,1
NO2,7.4,1,Italy,background,Siracusa,22/05/2018,1
NO2,8.0,1,Italy,background,Siracusa,13/03/2017,1
NO2,4.6,1,Italy,background,Siracusa,23/04/2017,1
NO2,7.3,1,Italy,background,Siracusa,06/05/2017,1
NO2,1.1,1,Italy,background,Siracusa,01/04/2018,1
NO2,6.7,1,Italy,background,Siracusa,06/05/2018,1
NO2,6.8,1,Italy,background,Siracusa,21/05/2018,1
NO2,8.2,1,Italy,background,Siracusa,11/04/2016,1
NO2,8.1,1,Italy,background,Siracusa,26/03/2017,1
NO2,6.0,1,Italy,background,Siracusa,21/03/2018,1
NO2,3.1,1,Italy,background,Siracusa,25/03/2018,1
NO2,16.3,1,Italy,background,Siracusa,01/02/2016,1
NO2,13.3,1,Italy,background,Siracusa,02/02/2016,1
NO2,10.8,1,Italy,background,Siracusa,03/02/2016,1
NO2,4.0,1,Italy,background,Siracusa,04/02/2016,1
NO2,5.0,1,Italy,background,Siracusa,05/02/2016,1
NO2,7.9,1,Italy,background,Siracusa,06/02/2016,1
NO2,5.4,1,Italy,background,Siracusa,07/02/2016,1
NO2,8.8,1,Italy,background,Siracusa,08/02/2016,1
NO2,10.5,1,Italy,background,Siracusa,09/02/2016,1
NO2,4.8,1,Italy,background,Siracusa,10/02/2016,1
NO2,5.4,1,Italy,background,Siracusa,11/02/2016,1
NO2,5.2,1,Italy,background,Siracusa,12/02/2016,1
NO2,3.7,1,Italy,background,Siracusa,13/02/2016,1
NO2,7.7,1,Italy,background,Siracusa,14/02/2016,1
NO2,10.5,1,Italy,background,Siracusa,15/02/2016,1
NO2,13.7,1,Italy,background,Siracusa,16/02/2016,1
NO2,4.1,1,Italy,background,Siracusa,17/02/2016,1
NO2,3.3,1,Italy,background,Siracusa,18/02/2016,1
NO2,8.1,1,Italy,background,Siracusa,19/02/2016,1
NO2,3.6,1,Italy,background,Siracusa,20/02/2016,1
NO2,18.8,1,Italy,background,Siracusa,23/02/2016,1
NO2,8.1,1,Italy,background,Siracusa,24/02/2016,1
NO2,9.5,1,Italy,background,Siracusa,25/02/2016,1
NO2,6.5,1,Italy,background,Siracusa,26/02/2016,1
NO2,6.2,1,Italy,background,Siracusa,27/02/2016,1
NO2,3.5,1,Italy,background,Siracusa,28/02/2016,1
NO2,8.7,1,Italy,background,Siracusa,29/02/2016,1
NO2,5.9,1,Italy,background,Siracusa,01/03/2016,1
NO2,7.7,1,Italy,background,Siracusa,02/03/2016,1
NO2,3.5,1,Italy,background,Siracusa,03/03/2016,1
NO2,4.0,1,Italy,background,Siracusa,04/03/2016,1
NO2,5.7,1,Italy,background,Siracusa,05/03/2016,1
NO2,8.9,1,Italy,background,Siracusa,06/03/2016,1
NO2,4.7,1,Italy,background,Siracusa,07/03/2016,1
NO2,7.7,1,Italy,background,Siracusa,08/03/2016,1
NO2,5.4,1,Italy,background,Siracusa,09/03/2016,1
NO2,6.3,1,Italy,background,Siracusa,10/03/2016,1
NO2,9.5,1,Italy,background,Siracusa,11/03/2016,1
NO2,7.5,1,Italy,background,Siracusa,12/03/2016,1
NO2,5.3,1,Italy,background,Siracusa,13/03/2016,1
NO2,7.0,1,Italy,background,Siracusa,14/03/2016,1
NO2,12.1,1,Italy,background,Siracusa,15/03/2016,1
NO2,6.5,1,Italy,background,Siracusa,16/03/2016,1
NO2,2.6,1,Italy,background,Siracusa,23/03/2016,1
NO2,4.1,1,Italy,background,Siracusa,24/03/2016,1
NO2,5.4,1,Italy,background,Siracusa,25/03/2016,1
NO2,6.2,1,Italy,background,Siracusa,26/03/2016,1
NO2,6.1,1,Italy,background,Siracusa,27/03/2016,1
NO2,7.9,1,Italy,background,Siracusa,28/03/2016,1
NO2,8.4,1,Italy,background,Siracusa,29/03/2016,1
NO2,13.3,1,Italy,background,Siracusa,30/03/2016,1
NO2,8.6,1,Italy,background,Siracusa,31/03/2016,1
NO2,4.9,1,Italy,background,Siracusa,01/04/2016,1
NO2,1.7,1,Italy,background,Siracusa,02/04/2016,1
NO2,2.6,1,Italy,background,Siracusa,03/04/2016,1
NO2,11.5,1,Italy,background,Siracusa,04/04/2016,1
NO2,8.8,1,Italy,background,Siracusa,05/04/2016,1
NO2,7.5,1,Italy,background,Siracusa,06/04/2016,1
NO2,6.9,1,Italy,background,Siracusa,07/04/2016,1
NO2,4.5,1,Italy,background,Siracusa,08/04/2016,1
NO2,5.8,1,Italy,background,Siracusa,09/04/2016,1
NO2,1.0,1,Italy,background,Siracusa,10/04/2016,1
NO2,12.9,1,Italy,background,Siracusa,12/04/2016,1
NO2,6.1,1,Italy,background,La Spezia,18/04/2016,1
NO2,12.4,1,Italy,background,La Spezia,27/04/2018,1
NO2,5.2,1,Italy,background,La Spezia,19/02/2018,1
NO2,10.7,1,Italy,background,La Spezia,18/02/2016,1
NO2,8.1,1,Italy,background,La Spezia,20/02/2017,1
NO2,14.4,1,Italy,background,La Spezia,04/04/2018,1
NO2,8.1,1,Italy,background,La Spezia,23/05/2018,1
NO2,20.0,1,Italy,background,La Spezia,02/02/2016,1
NO2,12.8,1,Italy,background,La Spezia,04/02/2016,1
NO2,17.5,1,Italy,background,La Spezia,06/02/2016,1
NO2,18.2,1,Italy,background,La Spezia,08/02/2016,1
NO2,8.2,1,Italy,background,La Spezia,10/02/2016,1
NO2,13.7,1,Italy,background,La Spezia,12/02/2016,1
NO2,13.5,1,Italy,background,La Spezia,14/02/2016,1
NO2,10.5,1,Italy,background,La Spezia,16/02/2016,1
NO2,12.7,1,Italy,background,La Spezia,20/02/2016,1
NO2,16.9,1,Italy,background,La Spezia,22/02/2016,1
NO2,12.1,1,Italy,background,La Spezia,24/02/2016,1
NO2,13.7,1,Italy,background,La Spezia,26/02/2016,1
NO2,7.8,1,Italy,background,La Spezia,28/02/2016,1
NO2,15.6,1,Italy,background,La Spezia,01/03/2016,1
NO2,4.7,1,Italy,background,La Spezia,03/03/2016,1
NO2,8.4,1,Italy,background,La Spezia,05/03/2016,1
NO2,9.6,1,Italy,background,La Spezia,07/03/2016,1
NO2,5.9,1,Italy,background,La Spezia,09/03/2016,1
NO2,7.7,1,Italy,background,La Spezia,11/03/2016,1
NO2,5.4,1,Italy,background,La Spezia,13/03/2016,1
NO2,6.7,1,Italy,background,La Spezia,14/03/2016,1
NO2,7.8,1,Italy,background,La Spezia,16/03/2016,1
NO2,15.8,1,Italy,background,La Spezia,18/03/2016,1
NO2,8.1,1,Italy,background,La Spezia,20/03/2016,1
NO2,4.8,1,Italy,background,La Spezia,22/03/2016,1
NO2,6.8,1,Italy,background,La Spezia,24/03/2016,1
NO2,13.6,1,Italy,background,La Spezia,26/03/2016,1
NO2,7.5,1,Italy,background,La Spezia,28/03/2016,1
NO2,9.8,1,Italy,background,La Spezia,30/03/2016,1
NO2,17.9,1,Italy,background,La Spezia,01/04/2016,1
NO2,10.6,1,Italy,background,La Spezia,03/04/2016,1
NO2,8.4,1,Italy,background,La Spezia,04/04/2016,1
NO2,13.0,1,Italy,background,La Spezia,05/04/2016,1
NO2,21.3,1,Italy,background,La Spezia,07/04/2016,1
NO2,18.7,1,Italy,background,La Spezia,08/04/2016,1
NO2,5.8,1,Italy,background,La Spezia,10/04/2016,1
NO2,11.9,1,Italy,background,La Spezia,12/04/2016,1
NO2,10.4,1,Italy,background,La Spezia,14/04/2016,1
NO2,7.8,1,Italy,background,La Spezia,16/04/2016,1
NO2,13.5,1,Italy,background,La Spezia,20/04/2016,1
NO2,13.1,1,Italy,background,La Spezia,22/04/2016,1
NO2,5.4,1,Italy,background,La Spezia,24/04/2016,1
NO2,6.5,1,Italy,background,La Spezia,26/04/2016,1
NO2,8.5,1,Italy,background,La Spezia,28/04/2016,1
NO2,6.8,1,Italy,background,La Spezia,30/04/2016,1
NO2,4.8,1,Italy,background,La Spezia,02/05/2016,1
NO2,6.3,1,Italy,background,La Spezia,04/05/2016,1
NO2,10.7,1,Italy,background,La Spezia,06/05/2016,1
NO2,10.9,1,Italy,background,La Spezia,08/05/2016,1
NO2,10.7,1,Italy,background,La Spezia,10/05/2016,1
NO2,3.6,1,Italy,background,La Spezia,12/05/2016,1
NO2,5.4,1,Italy,background,La Spezia,14/05/2016,1
NO2,7.7,1,Italy,background,La Spezia,16/05/2016,1
NO2,5.6,1,Italy,background,La Spezia,18/05/2016,1
NO2,4.6,1,Italy,background,La Spezia,20/05/2016,1
NO2,10.6,1,Italy,background,La Spezia,22/05/2016,1
NO2,5.4,1,Italy,background,La Spezia,24/05/2016,1
NO2,9.6,1,Italy,background,La Spezia,26/05/2016,1
NO2,22.2,1,Italy,background,La Spezia,28/05/2016,1
NO2,3.5,1,Italy,background,La Spezia,30/05/2016,1
NO2,5.7,1,Italy,background,La Spezia,04/02/2017,1
NO2,4.6,1,Italy,background,La Spezia,06/02/2017,1
NO2,0.7,1,Italy,background,La Spezia,09/02/2017,1
NO2,7.4,1,Italy,background,La Spezia,11/02/2017,1
NO2,5.9,1,Italy,background,La Spezia,13/02/2017,1
NO2,14.7,1,Italy,background,La Spezia,15/02/2017,1
NO2,5.5,1,Italy,background,La Spezia,17/02/2017,1
NO2,1.4,1,Italy,background,La Spezia,19/02/2017,1
NO2,14.2,1,Italy,background,La Spezia,22/02/2017,1
NO2,12.1,1,Italy,background,La Spezia,24/02/2017,1
NO2,8.8,1,Italy,background,La Spezia,26/02/2017,1
NO2,7.9,1,Italy,background,La Spezia,28/02/2017,1
NO2,35.2,1,Italy,background,Siracusa,15/04/2016,1
NO2,33.5,1,Italy,background,Siracusa,16/04/2016,1
NO2,41.8,1,Italy,background,Siracusa,17/04/2016,1
NO2,25.2,1,Italy,background,Siracusa,18/04/2016,1
NO2,33.9,1,Italy,background,Siracusa,19/04/2016,1
NO2,27.7,1,Italy,background,Siracusa,20/04/2016,1
